wkt_geom,Station,Name,lat,lon,Elevation,Basin_Area
Point (29.98329999999999984 40.466700000000003),D12A167,PAPAZ D. AHİLER,40.4667,29.9833,163,101
Point (30.33330000000000126 40.716700000000003),D12A186,ÇARK S. REG ÇİKIS,40.7167,30.3333,132,252
Point (31.34219999999999828 40.23969999999999914),D12A188,NAL D. YAKAPINAR,40.2397,31.3422,662,618
Point (30.5 39.33330000000000126),D12A185,Akin Deresi Gemis,39.3333,30.5,1742,218
Point (30.19999999999999929 40.716700000000003),D12A186,ÇARK S. REG ÇİKIS,40.7167,30.2,132,252
Point (30.51670000000000016 39.31669999999999732),D12A193,Balik Bogazi D. Kirka,39.3167,30.5167,1050,685
Point (30.56670000000000087 39.23329999999999984),D12A194,HARAMİ D. KARAÖREN,39.2333,30.5667,1540,712
Point (32.09859999999999758 40.2944000000000031),D12A189,SÜVARİ Ç. ZEYDE,40.2944,32.0986,878,190
Point (30.56670000000000087 39.31669999999999732),D12A192,ÇATÖREN BRJ. BRJ. ÇİKISI,39.3167,30.5667,2900,712
Point (30.13329999999999842 39.466700000000003),D12A181,PORSUK Ç. ÇALÇA (Y.BOSNA),39.4667,30.1333,912,3810
Point (31.5 39.533299999999997),D12A182,PÜRTEK D. MEMİK,39.5333,31.5,960,177
Point (30.01670000000000016 39.45000000000000284),D12A181,PORSUK Ç. ÇALÇA (Y.BOSNA),39.45,30.0167,912,3810
Point (30.02639999999999887 39.46249999999999858),D12A181,PORSUK Ç. ÇALÇA (Y.BOSNA),39.4625,30.0264,912,3810
Point (30.58330000000000126 39.35000000000000142),D12A184,Kunduzlar Brj. Baraj Çikis,39.35,30.5833,5857,406
Point (30.48329999999999984 39.33330000000000126),D12A185,AKİN DERESI GEMİŞ,39.3333,30.4833,1742,218
Point (30.51670000000000016 39.36670000000000158),D12A183,Keçeliözü D. Göknebi,39.3667,30.5167,2032,94
Point (30.56670000000000087 39.35000000000000142),D12A184,KUNDUZLAR BRJ. BARAJ ÇIKIŞ,39.35,30.5667,5857,406
Point (32.70060000000000144 40.33389999999999986),D12A126,MERA Ç. PAZAR YOL AYIRIMI,40.3339,32.7006,971,197
Point (32.86249999999999716 40.24470000000000169),D12A128,OVA Ç. DERİVASYON KANALI,40.2447,32.8625,974,1000
